iter	Passed	Remaining
410	4392	6294
411	4402	6282
412	4413	6273
413	4426	6265
414	4438	6256
415	4448	6245
416	4454	6227
417	4465	6217
418	4477	6208
419	4488	6198
420	4497	6184
421	4506	6172
422	4515	6160
423	4526	6149
424	4533	6133
425	4546	6125
426	4557	6115
427	4569	6106
428	4580	6096
429	4589	6083
430	4600	6073
431	4612	6064
432	4620	6050
433	4630	6039
434	4641	6029
435	4653	6020
436	4665	6011
437	4676	6000
438	4683	5985
439	4695	5975
440	4705	5964
441	4715	5953
442	4725	5942
443	4737	5933
444	4749	5923
445	4759	5912
446	4770	5901
447	4779	5889
448	4790	5878
449	4800	5867
450	4813	5858
451	4824	5849
452	4836	5840
453	4846	5828
454	4858	5819
455	4868	5808
456	4881	5799
457	4893	5790
458	4903	5779
459	4913	5767
460	4920	5752
461	4931	5742
462	4942	5732
463	4953	5722
464	4965	5712
465	4976	5702
466	4987	5692
467	4998	5681
468	5008	5671
469	5021	5662
470	5032	5652
471	5045	5644
472	5057	5634
473	5068	5624
474	5080	5614
475	5089	5602
476	5099	5591
477	5108	5578
478	5121	5570
479	5133	5561
480	5144	5550
481	5156	5541
482	5167	5531
483	5178	5520
484	5189	5510
485	5201	5500
486	5212	5490
487	5223	5480
488	5235	5470
489	5246	5460
490	5257	5450
491	5271	5443
492	5282	5432
493	5293	5422
494	5303	5411
495	5314	5399
496	5325	5389
497	5337	5379
498	5346	5368
499	5358	5358
500	5369	5347
501	5380	5337
502	5389	5325
503	5401	5315
504	5410	5303
505	5422	5293
506	5433	5283
507	5443	5272
508	5455	5262
509	5466	5251
510	5476	5240
511	5485	5227
512	5496	5218
513	5508	5208
514	5520	5198
515	5529	5186
516	5538	5173
517	5548	5162
518	5557	5150
519	5567	5138
520	5578	5128
521	5594	5122
522	5606	5113
523	5618	5104
524	5629	5093
525	5643	5085
526	5654	5075
527	5666	5065
528	5679	5056
529	5690	5046
530	5701	5035
531	5712	5025
532	5725	5016
533	5736	5006
534	5746	4994
535	5757	4984
536	5769	4974
537	5780	4963
538	5791	4953
539	5802	4943
540	5811	4930
541	5822	4920
542	5832	4909
543	5842	4897
544	5854	4887
545	5865	4877
546	5875	4865
547	5887	4855
548	5895	4843
549	5905	4832
550	5918	4822
551	5928	4811
552	5941	4802
553	5953	4792
554	5964	4782
555	5977	4773
556	5987	4761
557	5998	4751
558	6008	4740
559	6017	4728
560	6026	4715
561	6037	4705
562	6052	4697
563	6062	4686
564	6073	4675
565	6082	4663
566	6093	4653
567	6103	4642
568	6114	4631
569	6127	4622
570	6137	4611
571	6149	4601
572	6160	4590
573	6172	4580
574	6182	4569
575	6192	4558
576	6198	4544
577	6209	4533
578	6220	4522
579	6232	4513
580	6239	4499
581	6250	4488
582	6259	4477
583	6271	4467
584	6282	4456
585	6292	4445
586	6303	4434
587	6314	4424
588	6324	4413
589	6335	4402
590	6349	4394
591	6359	4382
592	6370	4372
593	6381	4361
594	6391	4350
595	6404	4341
596	6413	4329
597	6425	4319
598	6434	4307
599	6447	4298
600	6458	4287
601	6469	4277
602	6479	4266
603	6485	4252
604	6491	4238
605	6502	4227
606	6513	4217
607	6526	4207
608	6536	4196
609	6549	4187
610	6558	4175
611	6569	4165
612	6581	4154
613	6592	4144
614	6604	4134
615	6614	4123
616	6624	4112
617	6637	4103
618	6648	4091
619	6658	4081
620	6668	4069
621	6678	4058
622	6690	4048
623	6698	4036
624	6707	4024
625	6718	4013
626	6729	4003
627	6739	3991
628	6751	3982
629	6761	3970
630	6772	3960
631	6784	3950
632	6795	3939
633	6809	3931
634	6819	3919
635	6830	3909
636	6840	3897
637	6850	3887
638	6862	3877
639	6873	3866
640	6884	3855
641	6896	3845
642	6908	3835
643	6919	3824
644	6931	3815
645	6943	3804
646	6955	3794
647	6967	3784
648	6978	3774
649	6987	3762
650	6999	3752
651	7010	3741
652	7021	3731
653	7034	3721
654	7045	3711
655	7056	3700
656	7065	3688
657	7075	3677
658	7087	3667
659	7098	3656
660	7110	3646
661	7121	3636
662	7134	3626
663	7144	3615
664	7155	3604
665	7165	3593
666	7176	3582
667	7188	3572
668	7200	3562
669	7213	3552
670	7223	3541
671	7235	3531
672	7247	3521
673	7257	3510
674	7268	3499
675	7280	3489
676	7291	3478
677	7302	3468
678	7312	3457
679	7323	3446
680	7335	3436
681	7347	3425
682	7357	3414
683	7368	3404
684	7380	3394
685	7392	3383
686	7405	3373
687	7416	3363
688	7426	3352
689	7437	3341
690	7449	3331
691	7461	3321
692	7474	3311
693	7485	3300
694	7494	3289
695	7504	3277
696	7515	3266
697	7528	3257
698	7540	3246
699	7552	3236
700	7564	3226
701	7574	3215
702	7586	3205
703	7597	3194
704	7607	3183
705	7619	3172
706	7631	3162
707	7642	3152
708	7654	3141
709	7666	3131
710	7677	3120
711	7687	3109
712	7699	3099
713	7709	3088
714	7719	3077
715	7729	3065
716	7740	3055
717	7754	3045
718	7765	3034
719	7776	3024
720	7787	3013
721	7800	3003
722	7808	2991
723	7819	2981
724	7832	2971
725	7842	2959
726	7853	2949
727	7865	2938
728	7874	2927
729	7885	2916
730	7896	2905
731	7908	2895
732	7921	2885
733	7930	2874
734	7941	2863
735	7954	2853
736	7963	2841
737	7974	2830
738	7984	2819
739	7994	2808
740	8005	2798
741	8016	2787
742	8028	2776
743	8040	2766
744	8051	2755
745	8062	2745
746	8074	2734
747	8081	2722
748	8092	2711
749	8106	2702
750	8119	2692
751	8129	2681
752	8141	2670
753	8154	2660
754	8163	2649
755	8176	2638
756	8185	2627
757	8198	2617
758	8209	2606
759	8221	2596
760	8232	2585
761	8242	2574
762	8254	2563
763	8263	2552
764	8273	2541
765	8283	2530
766	8294	2519
767	8305	2509
768	8316	2498
769	8329	2487
770	8340	2477
771	8352	2466
772	8357	2454
773	8369	2443
774	8380	2432
775	8391	2422
776	8401	2411
777	8412	2400
778	8422	2389
779	8434	2378
780	8446	2368
781	8457	2357
782	8467	2346
783	8477	2335
784	8489	2325
785	8499	2314
786	8510	2303
787	8518	2291
788	8530	2281
789	8542	2270
790	8554	2260
791	8564	2249
792	8576	2238
793	8589	2228
794	8599	2217
795	8610	2206
796	8622	2196
797	8634	2185
798	8644	2174
799	8655	2163
800	8665	2152
801	8676	2142
802	8686	2131
803	8698	2120
804	8709	2109
805	8718	2098
806	8730	2088
