iter	RMSE
0	169.1969439
1	163.0527027
2	157.2875141
3	152.308777
4	147.3308894
5	143.1557476
6	139.3397378
7	135.8362126
8	132.5906481
9	129.7442544
10	127.177079
11	124.4022795
12	121.9848595
13	119.6002615
14	117.5323985
15	115.6421409
16	114.100635
17	112.5941639
18	111.0983023
19	109.8038284
20	108.3461083
21	107.2155856
22	105.8380805
23	104.8472508
24	103.798912
25	102.7510797
26	101.9791566
27	101.2573958
28	100.4230881
29	99.72405919
30	99.06790769
31	98.53450066
32	97.75194878
33	97.15702342
34	96.65493783
35	96.16758361
36	95.69894236
37	95.26256042
38	94.78031251
39	94.41638963
40	94.20535259
41	93.88883501
42	93.47339157
43	93.13330865
44	92.78693406
45	92.45748426
46	92.44723267
47	92.034495
48	92.02519255
49	91.76820323
50	91.49643885
51	91.48831064
52	91.06255628
53	90.89824039
54	90.6405559
55	90.63327986
56	90.62848013
57	90.62190744
58	90.38055121
59	90.22140379
60	90.05198191
61	89.90848231
62	89.74553196
63	89.54349931
64	89.4156963
65	89.14943275
66	88.9301263
67	88.78451371
68	88.443768
69	88.29812101
70	88.29095654
71	88.25345719
72	88.13966306
73	88.00896895
74	87.79236249
75	87.78937382
76	87.6509539
77	87.41665397
78	87.32057157
79	87.1744158
80	87.02862309
81	86.69400978
82	86.54201657
83	86.43948842
84	86.3646025
85	86.24408624
86	86.10234541
87	86.10026659
88	85.97602114
89	85.85804786
90	85.73793882
91	85.57670075
92	85.52450107
93	85.15545516
94	85.07753525
95	84.95466662
96	84.79514387
97	84.64077088
98	84.54060889
99	84.42728537
100	84.39605663
101	84.3958416
102	84.34928481
103	84.22962116
104	84.03838826
105	83.90028289
106	83.82069733
107	83.71627266
108	83.61964997
109	83.5092702
110	83.40272887
111	83.37862986
112	83.28454775
113	83.19568252
114	83.12250815
115	83.12205085
116	83.08070609
117	82.93966559
118	82.89508365
119	82.76704726
120	82.72006925
121	82.68002767
122	82.62100237
123	82.53016767
124	82.45721535
125	82.353072
126	82.29066435
127	82.14519476
128	81.96795866
129	81.865621
130	81.73423741
131	81.45507119
132	81.33959182
133	81.33212718
134	81.30928291
135	81.24345289
136	81.19330588
137	81.15630459
138	81.09218579
139	81.03663539
140	80.95843447
141	80.94498715
142	80.88742429
143	80.87512594
144	80.79336309
145	80.74026455
146	80.66292718
147	80.63216185
148	80.5798897
149	80.579257
150	80.57886685
151	80.51502924
152	80.36941098
153	80.30653107
154	80.29879013
155	80.2823594
156	80.25833777
157	80.21750365
158	80.13531699
159	80.0348696
160	79.99624862
161	79.93275882
162	79.89717
163	79.88802858
164	79.84364592
165	79.80108617
166	79.77006115
167	79.69421439
168	79.60607154
169	79.55732204
170	79.55523162
171	79.51833325
172	79.47693203
173	79.42189291
174	79.39379504
175	79.36706016
176	79.34338574
177	79.31297556
178	79.28028461
179	79.27942802
180	79.25881355
181	79.19301305
182	79.18182541
183	79.15578648
184	79.07446442
185	79.0507014
186	79.02127356
187	79.02101267
188	78.96743676
189	78.93883831
190	78.91781965
191	78.89775071
192	78.82116055
193	78.79033094
194	78.7649801
195	78.73038973
196	78.70729908
197	78.66768733
198	78.66612403
199	78.64492393
200	78.64467836
201	78.58223982
202	78.48968622
203	78.45372513
204	78.40706026
205	78.36814909
206	78.33450686
207	78.32693571
